,brand,model,variant,manufactured_year,kilometers_driven,fuel_type,owners,location,price
0,Maruti,Eeco,5 Seater AC BSIV,2016,"45,347 Kms",Petrol,1st Owner,Ahmedabad,"3,74,500"
1,Maruti,Eeco,5 Seater AC,2020,"17,116 Kms",Petrol,1st Owner,Ahmedabad,"4,74,500"
2,Maruti,Swift Dzire,VXI 1.2,2019,"11,935 Kms",Petrol,1st Owner,Ahmedabad,"6,91,000"
3,Maruti,Wagon R,VXI,2014,"131,125 Kms",Petrol,1st Owner,Ahmedabad,"3,09,500"
4,Maruti,Wagon R,VXI,2014,"42,381 Kms",Petrol,1st Owner,Ahmedabad,"3,61,000"
5,Maruti,Eeco,5 Seater AC BSIV,2019,"14,161 Kms",Petrol,1st Owner,Ahmedabad,"4,48,500"
6,Maruti,Swift Dzire,VXI 1.2,2019,"9,303 Kms",Petrol,1st Owner,Ahmedabad,"6,88,000"
7,Maruti,Wagon R,VXI BS IV,2018,"23,197 Kms",Petrol,1st Owner,Ahmedabad,"4,41,500"
8,Maruti,Wagon R,VXI Plus,2017,"43,031 Kms",Petrol,1st Owner,Ahmedabad,"4,08,500"
9,Maruti,S-Presso,VXI,2019,"24,230 Kms",Petrol,1st Owner,Ahmedabad,"4,15,500"
10,Hyundai,Grand i10,CRDi Magna,2015,"71,197 Kms",Diesel,1st Owner,Ahmedabad,"3,63,000"
11,Hyundai,EON,Magna Plus,2014,"74,637 Kms",Petrol,1st Owner,Ahmedabad,"2,27,500"
12,Hyundai,Grand i10,Asta,2015,"73,875 Kms",Petrol,1st Owner,Ahmedabad,"4,67,000"
13,Hyundai,Grand i10,1.2 CRDi Magna,2017,"44,200 kms",Diesel,First Owner,Ahmedabad,5.3 Lakh*
14,Hyundai,i20,1.4 CRDi Sportz,2011,"1,20,000 kms",Diesel,Fourth & Above Owner,Ahmedabad,2.2 Lakh*
15,Hyundai,Verna,CRDi 1.6 EX,2018,"62,000 kms",Diesel,First Owner,Ahmedabad,8.51 Lakh*
16,Hyundai,Verna,1.6 SX CRDi (O),2014,"51,000 kms",Diesel,First Owner,Ahmedabad,5.9 Lakh*
