,brand,model,variant,manufactured_year,kilometers_driven,fuel_type,owners,location,price
0,Maruti,Eeco,5 Seater AC,2020,"17,116 Kms",Petrol,1st Owner,Ahmedabad,"4,74,500"
1,Maruti,Baleno,1.2 Delta,2016,"51,069 Kms",Petrol,1st Owner,Ahmedabad,"5,39,000"
2,Maruti,Eeco,5 Seater AC,2020,"17,116 Kms",Petrol,1st Owner,Ahmedabad,"4,74,500"
3,Maruti,Wagon R,VXI BS IV,2018,"23,197 Kms",Petrol,1st Owner,Ahmedabad,"4,41,500"
4,Maruti,Wagon R,VXI,2014,"131,125 Kms",Petrol,1st Owner,Ahmedabad,"3,09,500"
5,Maruti,Wagon R,VXI Plus,2017,"43,031 Kms",Petrol,1st Owner,Ahmedabad,"4,08,500"
6,Maruti,Wagon R,VXI,2014,"42,381 Kms",Petrol,1st Owner,Ahmedabad,"3,61,000"
7,Maruti,Baleno,Alpha,2017,"49,072 Kms",Petrol,1st Owner,Ahmedabad,"6,32,500"
8,Maruti,S-Presso,VXI,2019,"24,230 Kms",Petrol,1st Owner,Ahmedabad,"4,15,500"
9,Maruti,Eeco,5 Seater AC,2012,"57,341 Kms",Petrol,1st Owner,Ahmedabad,"2,73,500"
10,Maruti,Swift Dzire,VXI 1.2,2019,"9,303 Kms",Petrol,1st Owner,Ahmedabad,"6,88,000"
11,Maruti,Swift Dzire,VXI 1.2,2019,"11,935 Kms",Petrol,1st Owner,Ahmedabad,"6,91,000"
12,Maruti,Wagon R,LXI BS IV,2013,"85,416 Kms",Petrol,2nd Owner,Ahmedabad,"3,11,000"
13,Maruti,Swift,VDI,2018,"31,694 Kms",Diesel,1st Owner,Ahmedabad,"6,04,500"
14,Maruti,Ritz,ZXi,2014,"44,000 kms",Petrol,First Owner,Ahmedabad,3.7 Lakh*
15,Maruti,Swift,VDI,2015,"66,000 kms",Diesel,First Owner,Ahmedabad,4.5 Lakh*
16,Maruti,Wagon R,LXI,2009,"63,000 kms",Petrol,First Owner,Ahmedabad,2.3 Lakh*
17,Maruti,Swift,Ldi BSIII,2009,"68,000 kms",Diesel,Second Owner,Ahmedabad,2.35 Lakh*
18,Maruti,Wagon R,LXI,2009,"46,000 kms",Petrol,First Owner,Ahmedabad,2.15 Lakh*
19,Maruti,Swift Dzire,ZDi,2010,"65,000 kms",Diesel,First Owner,Ahmedabad,3.4 Lakh*
20,Hyundai,Grand i10,CRDi Magna,2015,"71,197 Kms",Diesel,1st Owner,Ahmedabad,"3,63,000"
21,Hyundai,Grand i10,Asta,2015,"73,875 Kms",Petrol,1st Owner,Ahmedabad,"4,67,000"
22,Hyundai,EON,Magna Plus,2014,"74,637 Kms",Petrol,1st Owner,Ahmedabad,"2,27,500"
23,Hyundai,Grand i10,CRDi SportZ Edition,2014,"65,000 kms",Diesel,First Owner,Ahmedabad,3.75 Lakh*
24,Hyundai,Creta,1.6 CRDi AT SX Plus,2015,"95,106 kms",Diesel,First Owner,Ahmedabad,9 Lakh*
25,Hyundai,Verna,CRDi 1.6 EX,2018,"62,000 kms",Diesel,First Owner,Ahmedabad,8.51 Lakh*
26,Hyundai,Grand i10,Sportz,2016,"20,000 kms",Petrol,First Owner,Ahmedabad,5.35 Lakh*
27,Hyundai,Creta,1.6 CRDi AT SX Plus,2019,"55,000 kms",Diesel,First Owner,Ahmedabad,13.75 Lakh*
